cycle,obs_net_in,synth_net_in,hs_sum_in,vix_in,date_in,substituted_in,obs_net_out,synth_net_out,hs_sum_out,vix_out,date_out,substituted_out
2,0.7550,1.5826,1.3050,19.0600,2010-03-02,False,0.3800,0.7366,0.3400,17.7700,2010-03-26,False
3,0.5350,1.6698,0.6650,16.2300,2010-04-06,False,0.5950,0.7970,0.9850,22.0500,2010-04-30,False
4,0.8000,1.5039,2.0100,23.8400,2010-05-04,False,1.1050,1.3687,1.3050,32.0700,2010-05-28,False
5,0.4500,1.1535,2.1000,30.1700,2010-06-02,False,-0.0200,0.1180,0.5000,28.5300,2010-06-25,False
6,0.6000,1.5944,1.6000,29.6500,2010-07-06,False,0.1500,0.4724,0.2400,23.5000,2010-07-30,False
7,0.7200,1.1128,1.6900,22.6300,2010-08-03,False,0.1500,0.2406,0.4000,24.4500,2010-08-27,False
8,0.7400,1.6045,1.2700,26.0500,2010-08-31,False,1.5100,2.3223,0.4500,21.7100,2010-09-24,False
9,0.8150,1.6973,2.0550,21.7600,2010-10-05,False,0.1850,0.2487,0.3150,21.2000,2010-10-29,False
10,0.7350,1.5124,1.5850,21.5700,2010-11-02,False,0.1750,0.1557,0.3850,18.3700,2010-11-22,False
11,0.6050,1.4579,1.7950,17.9900,2010-12-07,True,0.2950,0.3035,0.2950,17.7500,2010-12-31,False
12,0.6200,1.7652,1.4300,17.3800,2011-01-04,False,0.0850,0.2783,0.6550,16.1500,2011-01-27,False
13,0.4950,1.2716,1.8450,17.6300,2011-02-01,True,0.2400,0.3653,0.8500,19.2200,2011-02-25,False
14,0.5450,1.4907,1.5450,21.0100,2011-03-01,False,0.1900,0.1011,0.3200,18.0000,2011-03-24,False
15,0.5650,1.8711,1.7850,17.2500,2011-04-05,True,0.1000,0.2175,0.6100,15.6200,2011-04-26,True
16,0.7450,2.1303,1.2450,16.7000,2011-05-03,False,0.4700,0.3762,0.5800,16.0900,2011-05-26,False
17,0.5950,1.5811,1.5150,15.4500,2011-05-31,False,1.4050,1.8195,1.1550,21.1000,2011-06-24,False
18,0.4350,1.5790,2.3150,16.0600,2011-07-05,False,1.0300,1.6997,0.8500,25.2500,2011-07-29,False
19,0.6950,1.4590,1.8850,34.6000,2011-09-14,False,0.9700,1.0217,0.8800,42.9600,2011-09-30,False
20,0.5600,1.2913,2.5400,37.8100,2011-10-05,True,0.3250,0.9596,0.8150,24.5300,2011-10-28,True
21,0.5000,0.6133,2.4400,32.7400,2011-11-02,True,0.3050,0.3138,1.2450,34.4700,2011-11-25,True
22,0.8000,1.8735,1.6000,28.1300,2011-12-06,True,0.0850,0.1124,0.3350,20.7300,2011-12-23,True
23,0.6800,1.4696,1.4100,22.9700,2012-01-03,True,0.0900,0.0271,0.2100,18.5300,2012-01-27,True
24,0.2900,1.3573,3.3000,19.4400,2012-01-31,True,0.0300,0.0851,0.8700,17.3100,2012-02-24,False
25,0.5250,1.7162,2.1250,20.8700,2012-03-06,False,0.2950,0.1709,0.6050,15.4800,2012-03-29,False
26,1.0600,2.2534,1.1200,15.6600,2012-04-03,False,0.4150,0.4945,0.8250,16.8200,2012-04-25,False
27,0.7050,2.0452,1.7250,16.6000,2012-05-01,False,1.8000,1.8859,1.4500,21.7600,2012-05-25,False
28,0.5650,1.5926,1.5650,24.6800,2012-06-05,False,0.0300,0.1816,0.3300,20.3800,2012-06-25,False
29,0.9250,1.9455,1.2750,16.6600,2012-07-03,True,0.2450,0.2378,0.7950,17.5300,2012-07-26,False
30,0.8750,2.0881,1.7350,15.9900,2012-08-07,False,0.2700,0.4045,1.2600,16.3500,2012-08-27,False
31,1.5250,2.1159,2.2250,17.9800,2012-09-04,False,0.1600,0.3363,1.2800,15.4300,2012-09-25,False
32,0.6650,2.0123,1.8750,15.7100,2012-10-02,False,0.3000,0.6122,0.7000,17.8100,2012-10-26,False
33,0.4650,1.7947,1.0950,17.5800,2012-11-06,False,0.2300,0.2295,0.5700,15.5100,2012-11-28,False
34,0.9850,1.8507,1.1350,17.1200,2012-12-04,False,0.5800,1.2211,0.9200,22.7200,2012-12-28,False
35,0.6450,1.9848,1.3650,14.6800,2013-01-02,False,0.2300,0.2587,0.5900,12.4300,2013-01-22,False
36,0.6450,1.6725,1.6550,13.3100,2013-01-29,True,0.0950,0.3396,0.6650,14.1700,2013-02-22,True
37,0.7800,1.8870,1.6300,13.4800,2013-03-05,False,0.1550,0.3093,0.2150,12.7000,2013-03-28,False
38,0.8050,2.0432,1.2950,12.7800,2013-04-02,False,0.2450,0.3718,0.3050,13.6100,2013-04-26,False
39,0.7450,1.4068,1.4050,12.8300,2013-05-07,True,0.2050,0.5092,1.2050,16.3000,2013-05-31,False
40,0.9700,1.9038,1.5300,16.2700,2013-06-04,False,0.2450,0.3699,0.7050,16.8600,2013-06-28,False
41,0.7150,1.9219,1.5750,16.4400,2013-07-02,False,0.3350,0.8158,0.6950,12.7200,2013-07-26,False
42,1.1800,2.0370,1.2200,12.7200,2013-08-06,False,1.5700,1.6769,1.0200,17.0100,2013-08-30,False
43,1.0150,1.8630,1.7750,16.6100,2013-09-03,False,0.4500,0.7604,0.8500,15.4600,2013-09-27,False
44,0.9250,1.6266,1.4750,15.5400,2013-10-01,True,0.2550,0.6529,0.9150,13.0900,2013-10-25,False
45,1.0900,2.4332,1.1500,13.2700,2013-11-05,False,0.5500,1.0524,0.5000,13.7000,2013-11-29,False
46,0.9400,2.1449,1.7600,14.5500,2013-12-03,True,0.2250,0.3591,1.3150,12.4800,2013-12-24,False
47,1.0650,2.2637,1.3750,12.9200,2014-01-07,False,1.5700,2.0598,1.2600,18.4100,2014-01-31,False
48,1.0800,2.2321,1.5100,17.2300,2014-02-06,False,0.5200,1.5147,1.6800,14.0000,2014-02-28,False
49,0.8350,2.3327,1.4250,16.0000,2014-03-03,False,0.2700,0.4380,0.9800,15.0900,2014-03-24,False
50,0.9300,2.3020,1.6700,13.1000,2014-04-01,False,0.0850,0.4711,1.1750,13.1900,2014-04-22,False
51,1.1500,2.2596,1.2500,13.8000,2014-05-06,False,0.2300,0.4686,0.8900,11.3600,2014-05-23,False
52,1.1600,2.4891,1.9500,11.8700,2014-06-03,False,0.5000,0.5340,0.8400,11.6300,2014-06-26,False
53,0.8500,2.4770,1.7500,11.1500,2014-07-01,True,0.4050,0.4319,1.1050,11.5200,2014-07-23,True
54,0.9600,2.2241,2.0700,16.8700,2014-08-05,False,0.1050,0.4391,1.2050,11.7800,2014-08-27,False
55,1.0550,2.4673,1.8450,12.2500,2014-09-02,True,0.4750,0.5122,1.0250,13.2700,2014-09-24,True
56,0.6800,2.2312,1.6200,17.2000,2014-10-07,False,0.5050,0.4177,0.4050,14.3900,2014-10-28,False
57,0.6950,1.3902,1.8450,14.8900,2014-11-04,True,0.1000,0.0677,1.0000,12.2500,2014-11-25,True
58,1.5050,3.3288,2.4050,12.8500,2014-12-02,True,0.2300,1.0229,1.3300,14.8000,2014-12-23,True
59,0.9050,2.3104,1.5050,21.1200,2015-01-06,False,0.1250,0.4816,0.7250,16.6600,2015-01-23,False
60,0.9550,2.7617,1.7550,17.3300,2015-02-03,True,0.4350,0.4526,1.2250,14.5600,2015-02-23,True
61,0.8850,2.9728,1.6750,13.8600,2015-03-03,True,0.5050,0.5343,0.8050,13.0200,2015-03-20,True
62,0.8250,2.6084,1.3250,15.2900,2015-03-31,False,0.2250,0.5867,1.1350,12.6000,2015-04-16,False
63,1.1500,2.6324,1.5100,14.3100,2015-05-05,False,0.2450,0.6436,0.8450,12.1300,2015-05-22,False
64,1.1900,2.2374,1.0100,14.2400,2015-06-02,True,0.4550,0.2978,0.7550,12.7400,2015-06-22,True
