EXPIRE_DATE,rows,first_quote,last_quote,file
2010-01-07,60,2010-01-04,2010-01-07,spx_eod_201001.txt
2010-01-14,1458,2010-01-04,2010-01-14,spx_eod_201001.txt
2010-01-21,60,2010-01-15,2010-01-21,spx_eod_201001.txt
2010-01-28,79,2010-01-22,2010-01-28,spx_eod_201001.txt
2010-02-04,14,2010-01-29,2010-01-29,spx_eod_201001.txt
2010-02-18,3268,2010-01-04,2010-01-29,spx_eod_201001.txt
2010-03-18,2841,2010-01-04,2010-01-29,spx_eod_201001.txt
2010-03-31,629,2010-01-04,2010-01-29,spx_eod_201001.txt
2010-04-15,1512,2010-01-04,2010-01-29,spx_eod_201001.txt
2010-05-20,308,2010-01-20,2010-01-29,spx_eod_201001.txt
2010-06-17,1041,2010-01-04,2010-01-29,spx_eod_201001.txt
2010-06-29,78,2010-01-27,2010-01-29,spx_eod_201001.txt
2010-06-30,416,2010-01-04,2010-01-26,spx_eod_201001.txt
2010-09-16,830,2010-01-04,2010-01-29,spx_eod_201001.txt
2010-09-29,72,2010-01-27,2010-01-29,spx_eod_201001.txt
2010-09-30,384,2010-01-04,2010-01-26,spx_eod_201001.txt
2010-12-16,1349,2010-01-04,2010-01-29,spx_eod_201001.txt
2010-12-30,69,2010-01-27,2010-01-29,spx_eod_201001.txt
2010-12-31,368,2010-01-04,2010-01-26,spx_eod_201001.txt
2011-06-16,931,2010-01-04,2010-01-29,spx_eod_201001.txt
2011-12-15,969,2010-01-04,2010-01-29,spx_eod_201001.txt
2012-12-20,836,2010-01-04,2010-01-29,spx_eod_201001.txt
2010-02-04,58,2010-02-01,2010-02-04,spx_eod_201002.txt
2010-02-11,58,2010-02-08,2010-02-11,spx_eod_201002.txt
2010-02-18,2236,2010-02-01,2010-02-18,spx_eod_201002.txt
2010-02-25,74,2010-02-19,2010-02-25,spx_eod_201002.txt
2010-03-04,14,2010-02-26,2010-02-26,spx_eod_201002.txt
2010-03-18,3021,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-03-31,710,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-04-15,2328,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-05-20,1424,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-06-17,1105,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-06-29,494,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-09-16,849,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-09-29,456,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-12-16,1349,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-12-30,437,2010-02-01,2010-02-26,spx_eod_201002.txt
2011-06-16,931,2010-02-01,2010-02-26,spx_eod_201002.txt
2011-12-15,969,2010-02-01,2010-02-26,spx_eod_201002.txt
2012-12-20,836,2010-02-01,2010-02-26,spx_eod_201002.txt
2010-03-04,58,2010-03-01,2010-03-04,spx_eod_201003.txt
2010-03-11,65,2010-03-05,2010-03-11,spx_eod_201003.txt
2010-03-18,2226,2010-03-01,2010-03-18,spx_eod_201003.txt
2010-03-25,68,2010-03-19,2010-03-25,spx_eod_201003.txt
2010-03-31,1119,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-04-01,52,2010-03-26,2010-03-31,spx_eod_201003.txt
2010-04-15,3524,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-05-20,2868,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-06-17,2315,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-06-29,648,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-07-15,302,2010-03-23,2010-03-31,spx_eod_201003.txt
2010-09-16,1058,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-09-29,552,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-12-16,1668,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-12-30,529,2010-03-01,2010-03-31,spx_eod_201003.txt
2011-03-17,336,2010-03-23,2010-03-31,spx_eod_201003.txt
2011-06-16,1183,2010-03-01,2010-03-31,spx_eod_201003.txt
2011-12-15,1173,2010-03-01,2010-03-31,spx_eod_201003.txt
2012-12-20,1012,2010-03-01,2010-03-31,spx_eod_201003.txt
2010-04-01,13,2010-04-01,2010-04-01,spx_eod_201004.txt
2010-04-08,65,2010-04-01,2010-04-08,spx_eod_201004.txt
2010-04-15,1540,2010-04-01,2010-04-15,spx_eod_201004.txt
2010-04-22,73,2010-04-16,2010-04-22,spx_eod_201004.txt
2010-04-29,70,2010-04-23,2010-04-29,spx_eod_201004.txt
2010-05-20,3256,2010-04-01,2010-04-30,spx_eod_201004.txt
2010-06-17,3090,2010-04-01,2010-04-30,spx_eod_201004.txt
2010-06-29,788,2010-04-01,2010-04-30,spx_eod_201004.txt
2010-07-15,1454,2010-04-01,2010-04-30,spx_eod_201004.txt
2010-08-19,446,2010-04-19,2010-04-30,spx_eod_201004.txt
2010-09-16,1069,2010-04-01,2010-04-30,spx_eod_201004.txt
2010-09-29,504,2010-04-01,2010-04-30,spx_eod_201004.txt
2010-12-16,1640,2010-04-01,2010-04-30,spx_eod_201004.txt
2010-12-30,483,2010-04-01,2010-04-30,spx_eod_201004.txt
2011-03-17,1008,2010-04-01,2010-04-30,spx_eod_201004.txt
2011-03-30,483,2010-04-01,2010-04-30,spx_eod_201004.txt
2011-06-16,1113,2010-04-01,2010-04-30,spx_eod_201004.txt
2011-12-15,1088,2010-04-01,2010-04-30,spx_eod_201004.txt
2012-12-20,924,2010-04-01,2010-04-30,spx_eod_201004.txt
2010-05-06,56,2010-05-03,2010-05-06,spx_eod_201005.txt
2010-05-13,81,2010-05-07,2010-05-13,spx_eod_201005.txt
2010-05-20,2054,2010-05-03,2010-05-20,spx_eod_201005.txt
2010-05-27,75,2010-05-21,2010-05-27,spx_eod_201005.txt
2010-06-03,15,2010-05-28,2010-05-28,spx_eod_201005.txt
2010-06-17,2983,2010-05-03,2010-05-28,spx_eod_201005.txt
2010-06-29,380,2010-05-03,2010-05-14,spx_eod_201005.txt
2010-06-30,352,2010-05-17,2010-05-28,spx_eod_201005.txt
2010-07-15,2587,2010-05-03,2010-05-28,spx_eod_201005.txt
2010-08-19,1593,2010-05-03,2010-05-28,spx_eod_201005.txt
2010-09-16,1107,2010-05-03,2010-05-28,spx_eod_201005.txt
2010-09-29,240,2010-05-03,2010-05-14,spx_eod_201005.txt
2010-09-30,230,2010-05-17,2010-05-28,spx_eod_201005.txt
2010-12-16,1522,2010-05-03,2010-05-28,spx_eod_201005.txt
2010-12-30,230,2010-05-03,2010-05-14,spx_eod_201005.txt
2010-12-31,207,2010-05-17,2010-05-28,spx_eod_201005.txt
2011-03-17,920,2010-05-03,2010-05-28,spx_eod_201005.txt
2011-03-30,230,2010-05-03,2010-05-14,spx_eod_201005.txt
2011-03-31,207,2010-05-17,2010-05-28,spx_eod_201005.txt
2011-06-16,1035,2010-05-03,2010-05-28,spx_eod_201005.txt
2011-12-15,1007,2010-05-03,2010-05-28,spx_eod_201005.txt
2012-12-20,836,2010-05-03,2010-05-28,spx_eod_201005.txt
2010-06-03,48,2010-06-01,2010-06-03,spx_eod_201006.txt
2010-06-10,72,2010-06-04,2010-06-10,spx_eod_201006.txt
2010-06-17,2041,2010-06-01,2010-06-17,spx_eod_201006.txt
2010-06-24,75,2010-06-18,2010-06-24,spx_eod_201006.txt
2010-06-30,1044,2010-06-01,2010-06-30,spx_eod_201006.txt
2010-07-01,56,2010-06-25,2010-06-30,spx_eod_201006.txt
2010-07-15,3732,2010-06-01,2010-06-30,spx_eod_201006.txt
2010-08-19,2833,2010-06-01,2010-06-30,spx_eod_201006.txt
2010-09-16,2168,2010-06-01,2010-06-30,spx_eod_201006.txt
2010-09-30,638,2010-06-01,2010-06-30,spx_eod_201006.txt
2010-10-14,350,2010-06-21,2010-06-30,spx_eod_201006.txt
2010-12-16,1804,2010-06-01,2010-06-30,spx_eod_201006.txt
2010-12-31,506,2010-06-01,2010-06-30,spx_eod_201006.txt
2011-03-17,1180,2010-06-01,2010-06-30,spx_eod_201006.txt
2011-03-31,506,2010-06-01,2010-06-30,spx_eod_201006.txt
2011-06-16,1318,2010-06-01,2010-06-30,spx_eod_201006.txt
2011-12-15,1166,2010-06-01,2010-06-30,spx_eod_201006.txt
2012-06-14,368,2010-06-21,2010-06-30,spx_eod_201006.txt
2012-12-20,968,2010-06-01,2010-06-30,spx_eod_201006.txt
2010-07-01,14,2010-07-01,2010-07-01,spx_eod_201007.txt
2010-07-08,82,2010-07-01,2010-07-08,spx_eod_201007.txt
2010-07-15,1710,2010-07-01,2010-07-15,spx_eod_201007.txt
2010-07-22,90,2010-07-15,2010-07-22,spx_eod_201007.txt
2010-07-29,91,2010-07-22,2010-07-29,spx_eod_201007.txt
2010-08-04,12,2010-07-29,2010-07-29,spx_eod_201007.txt
2010-08-05,30,2010-07-29,2010-07-30,spx_eod_201007.txt
2010-08-19,3183,2010-07-01,2010-07-30,spx_eod_201007.txt
2010-09-16,2711,2010-07-01,2010-07-30,spx_eod_201007.txt
2010-09-30,683,2010-07-01,2010-07-30,spx_eod_201007.txt
2010-10-14,1399,2010-07-01,2010-07-30,spx_eod_201007.txt
2010-11-18,308,2010-07-19,2010-07-30,spx_eod_201007.txt
2010-12-16,1760,2010-07-01,2010-07-30,spx_eod_201007.txt
2010-12-31,483,2010-07-01,2010-07-30,spx_eod_201007.txt
2011-03-17,1155,2010-07-01,2010-07-30,spx_eod_201007.txt
2011-03-31,483,2010-07-01,2010-07-30,spx_eod_201007.txt
2011-06-16,1260,2010-07-01,2010-07-30,spx_eod_201007.txt
2011-06-30,567,2010-07-01,2010-07-30,spx_eod_201007.txt
2011-12-15,1161,2010-07-01,2010-07-30,spx_eod_201007.txt
2012-06-14,966,2010-07-01,2010-07-30,spx_eod_201007.txt
2012-12-20,936,2010-07-01,2010-07-30,spx_eod_201007.txt
2010-08-05,61,2010-08-02,2010-08-05,spx_eod_201008.txt
2010-08-12,84,2010-08-05,2010-08-12,spx_eod_201008.txt
2010-08-19,2142,2010-08-02,2010-08-19,spx_eod_201008.txt
2010-08-26,90,2010-08-19,2010-08-26,spx_eod_201008.txt
2010-09-02,53,2010-08-27,2010-08-31,spx_eod_201008.txt
2010-09-16,3300,2010-08-02,2010-08-31,spx_eod_201008.txt
2010-09-30,770,2010-08-02,2010-08-31,spx_eod_201008.txt
2010-10-14,3087,2010-08-02,2010-08-31,spx_eod_201008.txt
2010-11-18,1264,2010-08-02,2010-08-31,spx_eod_201008.txt
2010-12-16,2149,2010-08-02,2010-08-31,spx_eod_201008.txt
2010-12-31,506,2010-08-02,2010-08-31,spx_eod_201008.txt
2011-01-20,364,2010-08-23,2010-08-31,spx_eod_201008.txt
2011-03-17,1330,2010-08-02,2010-08-31,spx_eod_201008.txt
2011-03-31,506,2010-08-02,2010-08-31,spx_eod_201008.txt
2011-06-16,1320,2010-08-02,2010-08-31,spx_eod_201008.txt
2011-06-30,594,2010-08-02,2010-08-31,spx_eod_201008.txt
2011-10-20,2,2010-08-20,2010-08-23,spx_eod_201008.txt
2011-12-15,1235,2010-08-02,2010-08-31,spx_eod_201008.txt
2012-06-14,1084,2010-08-02,2010-08-31,spx_eod_201008.txt
2012-12-20,997,2010-08-02,2010-08-31,spx_eod_201008.txt
2010-09-02,40,2010-09-01,2010-09-02,spx_eod_201009.txt
2010-09-09,65,2010-09-02,2010-09-09,spx_eod_201009.txt
2010-09-16,1650,2010-09-01,2010-09-16,spx_eod_201009.txt
2010-09-22,1,2010-09-03,2010-09-03,spx_eod_201009.txt
2010-09-23,84,2010-09-16,2010-09-23,spx_eod_201009.txt
2010-09-30,1164,2010-09-01,2010-09-30,spx_eod_201009.txt
2010-10-07,13,2010-09-30,2010-09-30,spx_eod_201009.txt
2010-10-14,3276,2010-09-01,2010-09-30,spx_eod_201009.txt
2010-11-18,2673,2010-09-01,2010-09-30,spx_eod_201009.txt
2010-12-16,2552,2010-09-01,2010-09-30,spx_eod_201009.txt
2010-12-31,587,2010-09-01,2010-09-30,spx_eod_201009.txt
2011-01-20,1112,2010-09-01,2010-09-30,spx_eod_201009.txt
2011-03-17,1337,2010-09-01,2010-09-30,spx_eod_201009.txt
2011-03-31,483,2010-09-01,2010-09-30,spx_eod_201009.txt
2011-06-16,1286,2010-09-01,2010-09-30,spx_eod_201009.txt
2011-06-30,567,2010-09-01,2010-09-30,spx_eod_201009.txt
2011-09-15,477,2010-09-20,2010-09-30,spx_eod_201009.txt
2011-12-15,1263,2010-09-01,2010-09-30,spx_eod_201009.txt
2012-06-14,1050,2010-09-01,2010-09-30,spx_eod_201009.txt
2012-12-20,966,2010-09-01,2010-09-30,spx_eod_201009.txt
2010-10-07,98,2010-10-01,2010-10-07,spx_eod_201010.txt
2010-10-14,1560,2010-10-01,2010-10-14,spx_eod_201010.txt
2010-10-21,98,2010-10-14,2010-10-21,spx_eod_201010.txt
2010-10-28,114,2010-10-21,2010-10-28,spx_eod_201010.txt
2010-11-04,32,2010-10-28,2010-10-29,spx_eod_201010.txt
2010-11-18,3076,2010-10-01,2010-10-29,spx_eod_201010.txt
2010-12-16,3005,2010-10-01,2010-10-29,spx_eod_201010.txt
2010-12-31,760,2010-10-01,2010-10-29,spx_eod_201010.txt
2011-01-20,1445,2010-10-01,2010-10-29,spx_eod_201010.txt
2011-02-17,510,2010-10-18,2010-10-29,spx_eod_201010.txt
2011-03-17,1344,2010-10-01,2010-10-29,spx_eod_201010.txt
2011-03-31,483,2010-10-01,2010-10-29,spx_eod_201010.txt
2011-06-16,1323,2010-10-01,2010-10-29,spx_eod_201010.txt
2011-06-30,567,2010-10-01,2010-10-29,spx_eod_201010.txt
2011-09-15,1113,2010-10-01,2010-10-29,spx_eod_201010.txt
2011-09-30,651,2010-10-01,2010-10-29,spx_eod_201010.txt
2011-12-15,1320,2010-10-01,2010-10-29,spx_eod_201010.txt
2012-06-14,1050,2010-10-01,2010-10-29,spx_eod_201010.txt
2012-12-20,966,2010-10-01,2010-10-29,spx_eod_201010.txt
2010-11-04,77,2010-11-01,2010-11-04,spx_eod_201011.txt
2010-11-11,109,2010-11-04,2010-11-11,spx_eod_201011.txt
2010-11-18,1924,2010-11-01,2010-11-18,spx_eod_201011.txt
2010-11-25,88,2010-11-18,2010-11-24,spx_eod_201011.txt
2010-12-02,61,2010-11-24,2010-11-30,spx_eod_201011.txt
2010-12-16,3140,2010-11-01,2010-11-30,spx_eod_201011.txt
2010-12-31,902,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-01-20,2329,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-02-17,1398,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-03-17,1280,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-03-31,460,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-06-16,1260,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-06-30,540,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-09-15,1060,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-09-30,620,2010-11-01,2010-11-30,spx_eod_201011.txt
2011-12-15,1260,2010-11-01,2010-11-30,spx_eod_201011.txt
2012-06-14,1000,2010-11-01,2010-11-30,spx_eod_201011.txt
2012-12-20,934,2010-11-01,2010-11-30,spx_eod_201011.txt
2010-12-02,32,2010-12-01,2010-12-02,spx_eod_201012.txt
2010-12-10,167,2010-12-02,2010-12-10,spx_eod_201012.txt
2010-12-16,1884,2010-12-01,2010-12-16,spx_eod_201012.txt
2010-12-23,178,2010-12-16,2010-12-23,spx_eod_201012.txt
2010-12-31,1397,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-01-07,61,2010-12-30,2010-12-31,spx_eod_201012.txt
2011-01-20,3470,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-02-17,2882,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-03-17,2197,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-03-31,650,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-04-14,353,2010-12-20,2010-12-31,spx_eod_201012.txt
2011-06-16,1388,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-06-30,594,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-09-15,1170,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-09-30,682,2010-12-01,2010-12-31,spx_eod_201012.txt
2011-12-15,1422,2010-12-01,2010-12-31,spx_eod_201012.txt
2012-06-14,1102,2010-12-01,2010-12-31,spx_eod_201012.txt
2012-12-20,1036,2010-12-01,2010-12-31,spx_eod_201012.txt
2013-12-19,354,2010-12-22,2010-12-31,spx_eod_201012.txt
2011-01-07,155,2011-01-03,2011-01-07,spx_eod_201101.txt
2011-01-14,224,2011-01-06,2011-01-14,spx_eod_201101.txt
2011-01-20,1749,2011-01-03,2011-01-18,spx_eod_201101.txt
2011-01-28,102,2011-01-26,2011-01-28,spx_eod_201101.txt
2011-02-04,99,2011-01-27,2011-01-31,spx_eod_201101.txt
2011-02-17,2340,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-03-17,2137,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-03-31,585,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-04-14,983,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-05-19,164,2011-01-26,2011-01-31,spx_eod_201101.txt
2011-06-16,1007,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-06-30,405,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-09-15,825,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-09-30,465,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-12-15,1036,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-12-30,360,2011-01-03,2011-01-31,spx_eod_201101.txt
2012-06-14,765,2011-01-03,2011-01-31,spx_eod_201101.txt
2012-12-20,734,2011-01-03,2011-01-31,spx_eod_201101.txt
2013-12-19,765,2011-01-03,2011-01-31,spx_eod_201101.txt
2011-02-04,144,2011-02-01,2011-02-04,spx_eod_201102.txt
2011-02-11,251,2011-02-03,2011-02-11,spx_eod_201102.txt
2011-02-17,2028,2011-02-01,2011-02-17,spx_eod_201102.txt
2011-02-25,198,2011-02-17,2011-02-25,spx_eod_201102.txt
2011-03-04,118,2011-02-24,2011-02-28,spx_eod_201102.txt
2011-03-17,3110,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-03-31,1073,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-04-14,2486,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-05-19,1355,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-06-16,1304,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-06-30,563,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-09-15,1045,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-09-30,629,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-12-15,1364,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-12-30,468,2011-02-01,2011-02-28,spx_eod_201102.txt
2012-06-14,1001,2011-02-01,2011-02-28,spx_eod_201102.txt
2012-12-20,955,2011-02-01,2011-02-28,spx_eod_201102.txt
2013-12-19,969,2011-02-01,2011-02-28,spx_eod_201102.txt
2011-03-04,164,2011-03-01,2011-03-04,spx_eod_201103.txt
2011-03-11,286,2011-03-03,2011-03-11,spx_eod_201103.txt
2011-03-17,2145,2011-03-01,2011-03-17,spx_eod_201103.txt
2011-03-25,291,2011-03-17,2011-03-25,spx_eod_201103.txt
2011-03-31,1936,2011-03-01,2011-03-31,spx_eod_201103.txt
