cycle,when,date,expiry,leg,strike,moneyness_pct,spot,label,chain_rows,listed_below,listed_above,cause
0,exit,2010-01-29,2010-02-19,long_put,965.00,-10.14,1073.87,2010-02-18,172,960.00,970.00,row present but bid/ask blank in the vendor file
0,exit,2010-01-29,2010-02-19,short_put,980.00,-8.74,1073.87,2010-02-18,172,975.00,985.00,row present but bid/ask blank in the vendor file
0,exit,2010-01-29,2010-02-19,short_call,1250.00,16.40,1073.87,2010-02-18,172,1245.00,1255.00,row present but bid/ask blank in the vendor file
0,exit,2010-01-29,2010-02-19,long_call,1265.00,17.80,1073.87,2010-02-18,172,1260.00,1270.00,row present but bid/ask blank in the vendor file
1,entry,2010-02-02,2010-03-19,long_put,920.00,-16.62,1103.32,2010-03-18,159,915.00,925.00,row present but bid/ask blank in the vendor file
1,entry,2010-02-02,2010-03-19,short_put,935.00,-15.26,1103.32,2010-03-18,159,930.00,940.00,row present but bid/ask blank in the vendor file
1,entry,2010-02-02,2010-03-19,short_call,1230.00,11.48,1103.32,2010-03-18,159,1225.00,1235.00,row present but bid/ask blank in the vendor file
1,entry,2010-02-02,2010-03-19,long_call,1245.00,12.84,1103.32,2010-03-18,159,1240.00,1250.00,row present but bid/ask blank in the vendor file
11,entry,2010-12-07,2011-01-21,long_call,1355.00,10.73,1223.75,2011-01-20,155,1350.00,1360.00,strike 1355 not listed (chain of 155 strikes; nearest 1350 / 1360)
13,entry,2011-02-01,2011-03-18,long_call,1445.00,10.51,1307.59,2011-03-17,160,1440.00,1450.00,strike 1445 not listed (chain of 160 strikes; nearest 1440 / 1450)
15,entry,2011-04-05,2011-05-20,short_call,1455.00,9.18,1332.63,2011-05-19,142,1450.00,1460.00,strike 1455 not listed (chain of 142 strikes; nearest 1450 / 1460)
15,exit,2011-04-26,2011-05-20,short_call,1455.00,8.00,1347.24,2011-05-19,142,1450.00,1460.00,strike 1455 not listed (chain of 142 strikes; nearest 1450 / 1460)
20,entry,2011-10-05,2011-11-18,long_call,1385.00,21.06,1144.03,2011-11-17,164,1380.00,1390.00,strike 1385 not listed (chain of 164 strikes; nearest 1380 / 1390)
20,exit,2011-10-28,2011-11-18,long_call,1385.00,7.77,1285.09,2011-11-17,173,1380.00,1390.00,strike 1385 not listed (chain of 173 strikes; nearest 1380 / 1390)
21,entry,2011-11-02,2011-12-16,short_call,1470.00,18.75,1237.90,2011-12-15,187,1460.00,1475.00,strike 1470 not listed (chain of 187 strikes; nearest 1460 / 1475)
21,entry,2011-11-02,2011-12-16,long_call,1485.00,19.96,1237.90,2011-12-15,187,1475.00,1500.00,strike 1485 not listed (chain of 187 strikes; nearest 1475 / 1500)
21,exit,2011-11-25,2011-12-16,short_call,1470.00,26.87,1158.67,2011-12-15,190,1460.00,1475.00,strike 1470 not listed (chain of 190 strikes; nearest 1460 / 1475)
21,exit,2011-11-25,2011-12-16,long_call,1485.00,28.16,1158.67,2011-12-15,190,1475.00,1490.00,strike 1485 not listed (chain of 190 strikes; nearest 1475 / 1490)
22,entry,2011-12-06,2012-01-20,long_call,1465.00,16.41,1258.47,2012-01-19,161,1450.00,1475.00,strike 1465 not listed (chain of 161 strikes; nearest 1450 / 1475)
22,exit,2011-12-23,2012-01-20,long_call,1465.00,15.78,1265.33,2012-01-19,161,1450.00,1475.00,strike 1465 not listed (chain of 161 strikes; nearest 1450 / 1475)
23,entry,2012-01-03,2012-02-17,short_call,1455.00,13.93,1277.06,2012-02-16,159,1450.00,1475.00,strike 1455 not listed (chain of 159 strikes; nearest 1450 / 1475)
23,entry,2012-01-03,2012-02-17,long_call,1470.00,15.11,1277.06,2012-02-16,159,1450.00,1475.00,strike 1470 not listed (chain of 159 strikes; nearest 1450 / 1475)
23,exit,2012-01-27,2012-02-17,short_call,1455.00,10.53,1316.33,2012-02-16,164,1450.00,1475.00,strike 1455 not listed (chain of 164 strikes; nearest 1450 / 1475)
23,exit,2012-01-27,2012-02-17,long_call,1470.00,11.67,1316.33,2012-02-16,164,1450.00,1475.00,strike 1470 not listed (chain of 164 strikes; nearest 1450 / 1475)
24,entry,2012-01-31,2012-03-16,short_call,1465.00,11.63,1312.41,2012-03-15,173,1460.00,1470.00,strike 1465 not listed (chain of 173 strikes; nearest 1460 / 1470)
29,entry,2012-07-03,2012-08-17,short_call,1505.00,9.53,1374.02,2012-08-16,135,1500.00,1510.00,strike 1505 not listed (chain of 135 strikes; nearest 1500 / 1510)
36,entry,2013-01-29,2013-03-15,long_call,1635.00,8.43,1507.84,2013-03-14,173,1630.00,1650.00,strike 1635 not listed (chain of 173 strikes; nearest 1630 / 1650)
36,exit,2013-02-22,2013-03-15,long_call,1635.00,7.88,1515.60,2013-03-14,173,1630.00,1650.00,strike 1635 not listed (chain of 173 strikes; nearest 1630 / 1650)
39,entry,2013-05-07,2013-06-21,long_call,1770.00,8.86,1625.96,2013-06-20,173,1760.00,1775.00,strike 1770 not listed (chain of 173 strikes; nearest 1760 / 1775)
44,entry,2013-10-01,2013-11-15,long_call,1855.00,9.44,1695.00,2013-11-14,173,1850.00,1860.00,strike 1855 not listed (chain of 173 strikes; nearest 1850 / 1860)
46,entry,2013-12-03,2014-01-17,short_call,1935.00,7.79,1795.15,2014-01-16,201,1930.00,1940.00,strike 1935 not listed (chain of 201 strikes; nearest 1930 / 1940)
46,entry,2013-12-03,2014-01-17,long_call,1960.00,9.18,1795.15,2014-01-16,201,1950.00,1970.00,strike 1960 not listed (chain of 201 strikes; nearest 1950 / 1970)
53,entry,2014-07-01,2014-08-15,long_call,2115.00,7.18,1973.32,2014-08-14,184,2100.00,2120.00,strike 2115 not listed (chain of 184 strikes; nearest 2100 / 2120)
53,exit,2014-07-23,2014-08-15,long_call,2115.00,6.44,1987.01,2014-08-14,184,2100.00,2120.00,strike 2115 not listed (chain of 184 strikes; nearest 2100 / 2120)
55,entry,2014-09-02,2014-10-17,long_call,2155.00,7.63,2002.28,2014-10-16,192,2150.00,2160.00,strike 2155 not listed (chain of 192 strikes; nearest 2150 / 2160)
55,exit,2014-09-24,2014-10-17,long_call,2155.00,7.84,1998.30,2014-10-16,192,2150.00,2160.00,strike 2155 not listed (chain of 192 strikes; nearest 2150 / 2160)
57,entry,2014-11-04,2014-12-19,short_call,2205.00,9.59,2012.10,2014-12-18,223,2200.00,2220.00,strike 2205 not listed (chain of 223 strikes; nearest 2200 / 2220)
57,entry,2014-11-04,2014-12-19,long_call,2230.00,10.83,2012.10,2014-12-18,223,2220.00,2250.00,strike 2230 not listed (chain of 223 strikes; nearest 2220 / 2250)
57,exit,2014-11-25,2014-12-19,short_call,2205.00,6.67,2067.03,2014-12-18,235,2200.00,2210.00,strike 2205 not listed (chain of 235 strikes; nearest 2200 / 2210)
58,entry,2014-12-02,2015-01-16,short_call,2205.00,6.70,2066.55,2015-01-15,213,2200.00,2210.00,strike 2205 not listed (chain of 213 strikes; nearest 2200 / 2210)
58,exit,2014-12-23,2015-01-16,short_call,2205.00,5.90,2082.17,2015-01-15,216,2200.00,2210.00,strike 2205 not listed (chain of 216 strikes; nearest 2200 / 2210)
60,entry,2015-02-03,2015-03-20,short_call,2245.00,9.51,2050.03,2015-03-19,210,2240.00,2250.00,strike 2245 not listed (chain of 210 strikes; nearest 2240 / 2250)
60,entry,2015-02-03,2015-03-20,long_call,2270.00,10.73,2050.03,2015-03-19,210,2260.00,2275.00,strike 2270 not listed (chain of 210 strikes; nearest 2260 / 2275)
60,exit,2015-02-23,2015-03-20,long_call,2270.00,7.60,2109.66,2015-03-19,218,2260.00,2275.00,strike 2270 not listed (chain of 218 strikes; nearest 2260 / 2275)
61,entry,2015-03-03,2015-04-17,short_call,2265.00,7.46,2107.78,2015-04-16,229,2260.00,2270.00,strike 2265 not listed (chain of 229 strikes; nearest 2260 / 2270)
61,exit,2015-03-20,2015-04-17,short_call,2265.00,7.44,2108.10,2015-04-16,229,2260.00,2270.00,strike 2265 not listed (chain of 229 strikes; nearest 2260 / 2270)
64,entry,2015-06-02,2015-07-17,long_call,2295.00,8.79,2109.60,2015-07-16,226,2290.00,2300.00,strike 2295 not listed (chain of 226 strikes; nearest 2290 / 2300)
64,exit,2015-06-22,2015-07-17,long_call,2295.00,8.11,2122.85,2015-07-16,226,2290.00,2300.00,strike 2295 not listed (chain of 226 strikes; nearest 2290 / 2300)
65,entry,2015-07-07,2015-08-21,long_call,2285.00,9.79,2081.34,2015-08-20,220,2280.00,2290.00,strike 2285 not listed (chain of 220 strikes; nearest 2280 / 2290)
65,exit,2015-07-21,2015-08-21,long_call,2285.00,7.82,2119.21,2015-08-20,220,2280.00,2290.00,strike 2285 not listed (chain of 220 strikes; nearest 2280 / 2290)
74,entry,2016-03-01,2016-04-15,long_call,2215.00,11.96,1978.35,2016-04-14,234,2210.00,2220.00,strike 2215 not listed (chain of 234 strikes; nearest 2210 / 2220)
74,exit,2016-03-21,2016-04-15,long_call,2215.00,7.96,2051.60,2016-04-14,237,2210.00,2220.00,strike 2215 not listed (chain of 237 strikes; nearest 2210 / 2220)
75,entry,2016-04-05,2016-05-20,short_call,2240.00,9.53,2045.17,2016-05-19,223,2225.00,2250.00,strike 2240 not listed (chain of 223 strikes; nearest 2225 / 2250)
75,entry,2016-04-05,2016-05-20,long_call,2265.00,10.75,2045.17,2016-05-19,223,2250.00,2300.00,strike 2265 not listed (chain of 223 strikes; nearest 2250 / 2300)
75,exit,2016-04-22,2016-05-20,short_call,2240.00,7.10,2091.58,2016-05-19,231,2230.00,2250.00,strike 2240 not listed (chain of 231 strikes; nearest 2230 / 2250)
75,exit,2016-04-22,2016-05-20,long_call,2265.00,8.29,2091.58,2016-05-19,231,2250.00,2275.00,strike 2265 not listed (chain of 231 strikes; nearest 2250 / 2275)
76,entry,2016-05-03,2016-06-17,long_call,2260.00,9.53,2063.37,2016-06-16,243,2250.00,2275.00,strike 2260 not listed (chain of 243 strikes; nearest 2250 / 2275)
76,exit,2016-05-20,2016-06-17,long_call,2260.00,10.12,2052.32,2016-06-16,243,2250.00,2275.00,strike 2260 not listed (chain of 243 strikes; nearest 2250 / 2275)
77,entry,2016-05-31,2016-07-15,short_call,2255.00,7.54,2096.95,2016-07-14,209,2250.00,2275.00,strike 2255 not listed (chain of 209 strikes; nearest 2250 / 2275)
77,entry,2016-05-31,2016-07-15,long_call,2280.00,8.73,2096.95,2016-07-14,209,2275.00,2300.00,strike 2280 not listed (chain of 209 strikes; nearest 2275 / 2300)
77,exit,2016-06-24,2016-07-15,short_call,2255.00,10.68,2037.41,2016-07-14,211,2250.00,2275.00,strike 2255 not listed (chain of 211 strikes; nearest 2250 / 2275)
77,exit,2016-06-24,2016-07-15,long_call,2280.00,11.91,2037.41,2016-07-14,211,2275.00,2300.00,strike 2280 not listed (chain of 211 strikes; nearest 2275 / 2300)
78,entry,2016-07-05,2016-08-19,long_call,2325.00,11.32,2088.55,2016-08-18,223,2320.00,2340.00,strike 2325 not listed (chain of 223 strikes; nearest 2320 / 2340)
95,entry,2017-10-03,2017-11-17,long_call,2695.00,6.33,2534.58,2017-11-17,207,2690.00,2700.00,strike 2695 not listed (chain of 207 strikes; nearest 2690 / 2700)
99,entry,2018-01-30,2018-03-16,long_call,3075.00,8.95,2822.43,2018-03-16,246,3070.00,3080.00,strike 3075 not listed (chain of 246 strikes; nearest 3070 / 3080)
99,exit,2018-02-23,2018-03-16,long_call,3075.00,11.93,2747.30,2018-03-16,280,3070.00,3080.00,strike 3075 not listed (chain of 280 strikes; nearest 3070 / 3080)
100,entry,2018-03-06,2018-04-20,long_call,3135.00,14.91,2728.12,2018-04-20,273,3130.00,3140.00,strike 3135 not listed (chain of 273 strikes; nearest 3130 / 3140)
100,exit,2018-04-02,2018-04-20,long_call,3135.00,21.42,2581.88,2018-04-20,278,3130.00,3140.00,strike 3135 not listed (chain of 278 strikes; nearest 3130 / 3140)
104,entry,2018-06-05,2018-07-20,long_call,3015.00,9.68,2748.80,2018-07-20,250,3010.00,3020.00,strike 3015 not listed (chain of 250 strikes; nearest 3010 / 3020)
104,exit,2018-06-29,2018-07-20,long_call,3015.00,10.91,2718.37,2018-07-20,268,3010.00,3020.00,strike 3015 not listed (chain of 268 strikes; nearest 3010 / 3020)
107,entry,2018-09-04,2018-10-19,short_call,3095.00,6.84,2896.72,2018-10-19,256,3090.00,3100.00,strike 3095 not listed (chain of 256 strikes; nearest 3090 / 3100)
107,entry,2018-09-04,2018-10-19,long_call,3135.00,8.23,2896.72,2018-10-19,256,3130.00,3140.00,strike 3135 not listed (chain of 256 strikes; nearest 3130 / 3140)
107,exit,2018-09-19,2018-10-19,long_call,3135.00,7.81,2907.95,2018-10-19,279,3130.00,3140.00,strike 3135 not listed (chain of 279 strikes; nearest 3130 / 3140)
114,entry,2019-03-04,2019-04-18,short_call,3095.00,10.82,2792.81,2019-04-18,296,3090.00,3100.00,strike 3095 not listed (chain of 296 strikes; nearest 3090 / 3100)
114,entry,2019-03-04,2019-04-18,long_call,3130.00,12.07,2792.81,2019-04-18,296,3125.00,3150.00,strike 3130 not listed (chain of 296 strikes; nearest 3125 / 3150)
114,exit,2019-03-28,2019-04-18,short_call,3095.00,9.93,2815.44,2019-04-18,303,3090.00,3100.00,strike 3095 not listed (chain of 303 strikes; nearest 3090 / 3100)
114,exit,2019-03-28,2019-04-18,long_call,3130.00,11.17,2815.44,2019-04-18,303,3125.00,3150.00,strike 3130 not listed (chain of 303 strikes; nearest 3125 / 3150)
115,entry,2019-04-02,2019-05-17,long_call,3105.00,8.29,2867.24,2019-05-17,270,3100.00,3110.00,strike 3105 not listed (chain of 270 strikes; nearest 3100 / 3110)
118,entry,2019-07-02,2019-08-16,long_call,3215.00,8.14,2973.01,2019-08-16,272,3210.00,3220.00,strike 3215 not listed (chain of 272 strikes; nearest 3210 / 3220)
125,entry,2019-11-05,2019-12-20,short_call,3315.00,7.82,3074.62,2019-12-20,302,3310.00,3320.00,strike 3315 not listed (chain of 302 strikes; nearest 3310 / 3320)
125,entry,2019-11-05,2019-12-20,long_call,3355.00,9.12,3074.62,2019-12-20,302,3350.00,3360.00,strike 3355 not listed (chain of 302 strikes; nearest 3350 / 3360)
125,exit,2019-11-22,2019-12-20,long_call,3355.00,7.87,3110.29,2019-12-20,311,3350.00,3360.00,strike 3355 not listed (chain of 311 strikes; nearest 3350 / 3360)
126,entry,2019-12-03,2020-01-17,long_call,3395.00,9.76,3093.20,2020-01-17,295,3390.00,3400.00,strike 3395 not listed (chain of 295 strikes; nearest 3390 / 3400)
129,entry,2020-06-12,2020-07-17,short_call,3755.00,23.47,3041.31,2020-07-17,372,3750.00,3775.00,strike 3755 not listed (chain of 372 strikes; nearest 3750 / 3775)
129,entry,2020-06-12,2020-07-17,long_call,3795.00,24.78,3041.31,2020-07-17,372,3775.00,3800.00,strike 3795 not listed (chain of 372 strikes; nearest 3775 / 3800)
129,exit,2020-06-26,2020-07-17,short_call,3755.00,24.79,3009.05,2020-07-17,372,3750.00,3775.00,strike 3755 not listed (chain of 372 strikes; nearest 3750 / 3775)
129,exit,2020-06-26,2020-07-17,long_call,3795.00,26.12,3009.05,2020-07-17,372,3775.00,3800.00,strike 3795 not listed (chain of 372 strikes; nearest 3775 / 3800)
130,entry,2020-07-07,2020-08-21,short_call,3635.00,15.57,3145.32,2020-08-21,334,3625.00,3650.00,strike 3635 not listed (chain of 334 strikes; nearest 3625 / 3650)
130,exit,2020-07-23,2020-08-21,short_call,3635.00,12.34,3235.66,2020-08-21,346,3625.00,3650.00,strike 3635 not listed (chain of 346 strikes; nearest 3625 / 3650)
131,entry,2020-08-04,2020-09-18,short_call,3720.00,12.51,3306.51,2020-09-18,347,3700.00,3725.00,strike 3720 not listed (chain of 347 strikes; nearest 3700 / 3725)
131,entry,2020-08-04,2020-09-18,long_call,3765.00,13.87,3306.51,2020-09-18,347,3750.00,3775.00,strike 3765 not listed (chain of 347 strikes; nearest 3750 / 3775)
131,exit,2020-08-21,2020-09-18,short_call,3720.00,9.50,3397.16,2020-09-18,368,3710.00,3725.00,strike 3720 not listed (chain of 368 strikes; nearest 3710 / 3725)
131,exit,2020-08-21,2020-09-18,long_call,3765.00,10.83,3397.16,2020-09-18,368,3750.00,3775.00,strike 3765 not listed (chain of 368 strikes; nearest 3750 / 3775)
132,entry,2020-09-01,2020-10-16,short_call,4010.00,13.71,3526.65,2020-10-16,355,4000.00,4100.00,strike 4010 not listed (chain of 355 strikes; nearest 4000 / 4100)
132,entry,2020-09-01,2020-10-16,long_call,4055.00,14.98,3526.65,2020-10-16,355,4000.00,4100.00,strike 4055 not listed (chain of 355 strikes; nearest 4000 / 4100)
132,exit,2020-09-14,2020-10-16,short_call,4010.00,18.51,3383.54,2020-10-16,379,4000.00,4025.00,strike 4010 not listed (chain of 379 strikes; nearest 4000 / 4025)
132,exit,2020-09-14,2020-10-16,long_call,4055.00,19.84,3383.54,2020-10-16,379,4050.00,4075.00,strike 4055 not listed (chain of 379 strikes; nearest 4050 / 4075)
134,entry,2020-10-06,2020-11-20,short_call,3885.00,15.59,3360.97,2020-11-20,350,3880.00,3890.00,strike 3885 not listed (chain of 350 strikes; nearest 3880 / 3890)
134,exit,2020-10-30,2020-11-20,short_call,3885.00,18.81,3269.96,2020-11-20,362,3880.00,3890.00,strike 3885 not listed (chain of 362 strikes; nearest 3880 / 3890)
135,entry,2020-11-04,2020-12-18,long_call,4020.00,16.74,3443.44,2020-12-18,391,4000.00,4025.00,strike 4020 not listed (chain of 391 strikes; nearest 4000 / 4025)
135,exit,2020-11-19,2020-12-18,long_call,4020.00,12.23,3581.87,2020-12-18,401,4000.00,4025.00,strike 4020 not listed (chain of 401 strikes; nearest 4000 / 4025)
138,entry,2021-02-02,2021-03-19,short_call,4340.00,13.43,3826.31,2021-03-19,447,4325.00,4350.00,strike 4340 not listed (chain of 447 strikes; nearest 4325 / 4350)
138,entry,2021-02-02,2021-03-19,long_call,4390.00,14.73,3826.31,2021-03-19,447,4375.00,4400.00,strike 4390 not listed (chain of 447 strikes; nearest 4375 / 4400)
138,exit,2021-02-16,2021-03-19,short_call,4340.00,10.36,3932.59,2021-03-19,466,4325.00,4350.00,strike 4340 not listed (chain of 466 strikes; nearest 4325 / 4350)
138,exit,2021-02-16,2021-03-19,long_call,4390.00,11.63,3932.59,2021-03-19,466,4375.00,4400.00,strike 4390 not listed (chain of 466 strikes; nearest 4375 / 4400)
140,entry,2021-03-02,2021-04-16,short_call,4360.00,12.65,3870.29,2021-04-16,369,4350.00,4375.00,strike 4360 not listed (chain of 369 strikes; nearest 4350 / 4375)
140,entry,2021-03-02,2021-04-16,long_call,4410.00,13.94,3870.29,2021-04-16,369,4400.00,4425.00,strike 4410 not listed (chain of 369 strikes; nearest 4400 / 4425)
140,exit,2021-03-15,2021-04-16,short_call,4360.00,9.85,3968.94,2021-04-16,370,4350.00,4375.00,strike 4360 not listed (chain of 370 strikes; nearest 4350 / 4375)
140,exit,2021-03-15,2021-04-16,long_call,4410.00,11.11,3968.94,2021-04-16,370,4400.00,4425.00,strike 4410 not listed (chain of 370 strikes; nearest 4400 / 4425)
141,entry,2021-03-15,2021-04-16,long_call,4370.00,10.10,3968.94,2021-04-16,370,4350.00,4375.00,strike 4370 not listed (chain of 370 strikes; nearest 4350 / 4375)
141,exit,2021-03-22,2021-04-16,long_call,4370.00,10.90,3940.59,2021-04-16,375,4350.00,4375.00,strike 4370 not listed (chain of 375 strikes; nearest 4350 / 4375)
142,entry,2021-04-06,2021-05-21,short_call,4465.00,9.60,4073.94,2021-05-21,375,4450.00,4475.00,strike 4465 not listed (chain of 375 strikes; nearest 4450 / 4475)
142,entry,2021-04-06,2021-05-21,long_call,4520.00,10.95,4073.94,2021-05-21,375,4500.00,4525.00,strike 4520 not listed (chain of 375 strikes; nearest 4500 / 4525)
142,exit,2021-04-26,2021-05-21,long_call,4520.00,7.94,4187.62,2021-05-21,389,4500.00,4525.00,strike 4520 not listed (chain of 389 strikes; nearest 4500 / 4525)
143,entry,2021-05-04,2021-06-18,short_call,4590.00,10.21,4164.66,2021-06-18,445,4575.00,4600.00,strike 4590 not listed (chain of 445 strikes; nearest 4575 / 4600)
143,entry,2021-05-04,2021-06-18,long_call,4645.00,11.53,4164.66,2021-06-18,445,4625.00,4650.00,strike 4645 not listed (chain of 445 strikes; nearest 4625 / 4650)
143,exit,2021-05-21,2021-06-18,short_call,4590.00,10.45,4155.86,2021-06-18,446,4575.00,4600.00,strike 4590 not listed (chain of 446 strikes; nearest 4575 / 4600)
143,exit,2021-05-21,2021-06-18,long_call,4645.00,11.77,4155.86,2021-06-18,446,4625.00,4650.00,strike 4645 not listed (chain of 446 strikes; nearest 4625 / 4650)
144,entry,2021-06-01,2021-07-16,long_call,4655.00,10.78,4202.04,2021-07-16,292,4650.00,4675.00,strike 4655 not listed (chain of 292 strikes; nearest 4650 / 4675)
144,exit,2021-06-14,2021-07-16,long_call,4655.00,9.40,4255.15,2021-07-16,292,4650.00,4675.00,strike 4655 not listed (chain of 292 strikes; nearest 4650 / 4675)
145,entry,2021-06-14,2021-07-16,long_put,3785.00,-11.05,4255.15,2021-07-16,292,3780.00,3790.00,strike 3785 not listed (chain of 292 strikes; nearest 3780 / 3790)
145,entry,2021-06-14,2021-07-16,short_call,4565.00,7.28,4255.15,2021-07-16,292,4560.00,4570.00,strike 4565 not listed (chain of 292 strikes; nearest 4560 / 4570)
145,entry,2021-06-14,2021-07-16,long_call,4620.00,8.57,4255.15,2021-07-16,292,4610.00,4625.00,strike 4620 not listed (chain of 292 strikes; nearest 4610 / 4625)
145,exit,2021-06-23,2021-07-16,short_call,4565.00,7.62,4241.84,2021-07-16,374,4560.00,4570.00,strike 4565 not listed (chain of 374 strikes; nearest 4560 / 4570)
146,entry,2021-07-06,2021-08-20,long_put,3785.00,-12.86,4343.54,2021-08-20,298,3780.00,3790.00,strike 3785 not listed (chain of 298 strikes; nearest 3780 / 3790)
146,entry,2021-07-06,2021-08-20,short_call,4720.00,8.67,4343.54,2021-08-20,298,4700.00,4725.00,strike 4720 not listed (chain of 298 strikes; nearest 4700 / 4725)
147,entry,2021-08-03,2021-09-17,short_call,4845.00,9.54,4423.15,2021-09-17,415,4825.00,4850.00,strike 4845 not listed (chain of 415 strikes; nearest 4825 / 4850)
147,entry,2021-08-03,2021-09-17,long_call,4905.00,10.89,4423.15,2021-09-17,415,4900.00,4925.00,strike 4905 not listed (chain of 415 strikes; nearest 4900 / 4925)
147,exit,2021-08-13,2021-09-17,short_call,4845.00,8.44,4468.00,2021-09-17,430,4840.00,4850.00,strike 4845 not listed (chain of 430 strikes; nearest 4840 / 4850)
