month,month_end,equity,cash,open_mark,cash_pnl,realised_premium_pnl,filter_active_days,trading_days,total_pnl,premium_pnl,total_return
2005-01,2005-01-31,400737.1101032747,400737.1101032747,0.0,723.5934776676295,13.516625607071248,0,20,737.1101032746956,13.51662560706609,0.001842775258186739
2005-02,2005-02-28,401536.4914915856,401536.4914915856,0.0,787.3201465660991,12.061241744745452,0,19,799.3813883109251,12.06124174482602,0.0019947775440735077
2005-03,2005-03-31,402448.58716576407,402448.58716576407,0.0,949.5325640136914,-37.43688983531386,0,22,912.0956741784466,-37.436889835244756,0.002271513781450571
2005-04,2005-04-29,403269.0835525922,403269.0835525922,0.0,901.0047957657442,-80.5084089376602,0,21,820.4963868281338,-80.5084089376104,0.002038760758502006
2005-05,2005-05-31,404112.25358419336,404433.1319197307,-320.87833553735646,1019.4621675598316,-6.292135958655214,0,21,843.1700316011556,-176.292135958676,0.002090837274638719
2005-06,2005-06-30,405297.86725941295,405297.86725941295,0.0,1000.3694905329264,15.244184686623072,0,22,1185.613675219589,185.2441846866625,0.0029338721226689463
2005-07,2005-07-29,405814.794860084,405814.794860084,0.0,1041.1590619127956,-524.2314612418282,0,20,516.9276006710716,-524.231461241724,0.0012754264022322363
2005-08,2005-08-31,407051.93712085695,407051.93712085695,0.0,1281.3446755169084,-44.20241474395131,0,23,1237.1422607729328,-44.20241474397562,0.0030485390785209595
2005-09,2005-09-30,408251.80858548294,408251.80858548294,0.0,1163.739691406422,36.131773219557516,0,21,1199.8714646259905,36.13177321956846,0.0029477109803551656
2005-10,2005-10-31,409376.41989613115,409376.41989613115,0.0,1292.6788968407243,-168.06758619252813,0,21,1124.611310648208,-168.06758619251627,0.0027547001311391084
2005-11,2005-11-30,410540.5899275038,410540.5899275038,0.0,1332.4501535090944,-168.2801221364607,0,21,1164.1700313726324,-168.28012213646207,0.002843764258986902
2005-12,2005-12-30,411888.42956400604,411888.42956400604,0.0,1334.9118234695961,12.927813032729894,0,21,1347.8396365022636,12.927813032667473,0.003283084960588854
2006-01,2006-01-31,413161.789673336,413490.9913297102,-329.2016563741309,1540.8305067110798,-97.4703973811276,0,20,1273.3601093299803,-267.4703973810995,0.0030915170661090507
2006-02,2006-02-28,414794.57383584406,414794.57383584406,0.0,1432.3669476591435,30.417214848967753,0,19,1632.7841625080328,200.41721484888922,0.003951924411497452
2006-03,2006-03-31,416424.1908722479,416424.1908722479,0.0,1624.1575782207967,5.459458183017382,0,23,1629.6170364038553,5.459458183058587,0.003928732773270993
2006-04,2006-04-28,417914.6159808578,417914.6159808578,0.0,1495.4795834041627,-5.054474794436397,0,19,1490.4251086098957,-5.05447479426698,0.003579103090740311
2006-05,2006-05-31,419667.7762240972,419667.7762240972,0.0,1816.7984098364816,-63.63816659701805,0,22,1753.1602432393702,-63.63816659711142,0.004195020169669472
2006-06,2006-06-30,421428.8971914686,421428.8971914686,0.0,1681.5557477013765,79.5652196702012,0,22,1761.1209673714475,79.56521967007097,0.004196464601635346
2006-07,2006-07-31,423143.00675898,423143.00675898,0.0,1804.1583574535496,-90.04878994227468,5,20,1714.109567511361,-90.04878994218848,0.004067375490704868
2006-08,2006-08-31,425055.408819078,425055.408819078,0.0,1823.839491807175,88.5625682907091,0,23,1912.4020600980148,88.56256829083986,0.0045195171125380525
2006-09,2006-09-29,426743.04518489575,426743.04518489575,0.0,1668.1372987547868,19.499067062942373,0,20,1687.6363658177434,19.499067062956556,0.00397039146144844
2006-10,2006-10-31,428123.310558506,428550.1260055498,-426.8154470437916,1872.2503012690142,-321.9849276587825,0,22,1380.2653736102511,-491.9849276587631,0.0032344179692775565
2006-11,2006-11-30,430171.1080307227,430171.1080307227,0.0,1781.5186056495183,96.27886656716251,0,21,2047.7974722167128,266.2788665671944,0.004783195452602825
2006-12,2006-12-29,432020.9301463707,432020.9301463707,0.0,1695.6851029668042,154.13701268132834,0,20,1849.822115648014,154.13701268120985,0.0043002007366703485
2007-01,2007-01-31,433976.9211259058,434419.6037261994,-442.6826002936042,1980.6255810714908,148.0772064474925,0,20,1955.9909795350977,-24.63460153639312,0.004527537540536286
2007-02,2007-02-28,435895.1824374695,435895.1824374695,0.0,1712.5432516168196,33.00625196269788,1,19,1918.2613115636632,205.7180599468436,0.004420191992207658
2007-03,2007-03-30,437669.4446884997,437669.4446884997,0.0,1812.5059710253265,-38.24371999511762,10,22,1774.262251030188,-38.24371999513846,0.004070387383289586
2007-04,2007-04-30,439087.9299836652,439087.9299836652,0.0,1854.8446557135455,-436.35936054807894,3,20,1418.4852951655048,-436.35936054804074,0.00324099685819986
2007-05,2007-05-31,440935.7494241303,440935.7494241303,0.0,1809.0040247273566,38.81541573790354,2,22,1847.8194404651294,38.81541573777281,0.00420831299219241
2007-06,2007-06-29,442647.5271810976,442647.5271810976,0.0,1649.1990851255287,62.578671841716925,4,21,1711.7777569672908,62.578671841762116,0.0038821478167803407
2007-07,2007-07-31,444471.36205760995,444471.36205760995,0.0,1904.3464416406116,-80.51156512835725,6,21,1823.834876512352,-80.51156512825969,0.004120287055768817
2007-08,2007-08-31,446118.4634755118,446118.4634755118,0.0,1647.1014179018518,0.0,23,23,1647.1014179018675,1.5688783605583012e-11,0.0037057537526756995
2007-09,2007-09-28,447570.99963757914,447570.99963757914,0.0,1361.7559322601412,90.78022980714353,11,19,1452.5361620673211,90.78022980717992,0.0032559427169887877
2007-10,2007-10-31,449173.87052115693,449173.87052115693,0.0,1593.5489385879973,9.321944989505845,1,23,1602.8708835777943,9.321944989796975,0.003581266178719622
2007-11,2007-11-30,450499.0849744947,450499.0849744947,0.0,1255.6397998523657,69.57465348526989,10,21,1325.2144533377723,69.57465348540654,0.002950337364460189
2007-12,2007-12-31,451789.10728650173,451789.10728650173,0.0,1155.0562039444424,134.9661080626008,0,20,1290.0223120070295,134.96610806258718,0.002863540360087668
2008-01,2008-01-31,452707.6099531097,452707.6099531097,0.0,1129.4280426352707,-210.92537602732432,12,21,918.5026666079648,-210.9253760273059,0.002033034112142719
2008-02,2008-02-29,453622.15845038224,453622.15845038224,0.0,783.596506736522,130.9519905359361,11,20,914.548497272539,130.95199053601698,0.002020174782056934
2008-03,2008-03-31,454171.3800772605,454171.3800772605,0.0,501.9289398431524,47.292687035133596,10,20,549.2216268782504,47.29268703509797,0.0012107469105002394
2008-04,2008-04-30,454639.6862497565,454639.6862497565,0.0,486.07845664672595,-17.772284150841095,0,22,468.3061724959989,-17.772284150727046,0.0010311221557297026
2008-05,2008-05-30,455304.2759730245,455304.2759730245,0.0,642.6506980634445,21.939025204636437,0,21,664.589723268,21.93902520455549,0.0014617943469697613
2008-06,2008-06-30,455878.9372947268,455878.9372947268,0.0,731.4635317791455,-156.80221007699353,0,21,574.6613217022968,-156.8022100768486,0.00126214786907985
2008-07,2008-07-31,456558.97844092414,456558.97844092414,0.0,643.3948904845718,36.64625571278257,14,22,680.0411461973563,36.64625571278452,0.0014917143358999017
2008-08,2008-08-29,457172.9545694235,457172.9545694235,0.0,632.459544473698,-18.48341597445861,2,21,613.9761284993729,-18.483415974325112,0.0013447903939946665
2008-09,2008-09-30,457408.85875712615,457408.85875712615,0.0,495.70713184856714,-259.8029441458268,14,21,235.90418770263204,-259.8029441459351,0.0005160064377054244
2008-10,2008-10-31,457680.0957133617,457680.0957133617,0.0,271.23695623543404,0.0,23,23,271.2369562355452,1.1118572729174048e-10,0.0005929857960612127
2008-11,2008-11-28,457762.9007960029,457762.9007960029,0.0,82.8050826411308,0.0,19,19,82.80508264119271,6.191669399413513e-11,0.000180923495290152
2008-12,2008-12-31,457772.9467747061,457772.9467747061,0.0,10.045978703354779,0.0,13,22,10.045978703245055,-1.0972378561291407e-10,2.1945812309770244e-05
2009-01,2009-01-30,457724.1700291451,457724.1700291451,0.0,42.86117461067018,-91.63792017159673,1,20,-48.77674556104466,-91.63792017171485,-0.00010655226767922185
2009-02,2009-02-27,457695.9459620019,457695.9459620019,0.0,102.65845011506455,-130.88251725821618,16,19,-28.224067143164575,-130.88251725822914,-6.166173645880977e-05
2009-03,2009-03-31,457783.70407993626,457783.70407993626,0.0,87.75811793436787,0.0,18,22,87.75811793433968,-2.8194335754960775e-11,0.00019173890157555686
2009-04,2009-04-30,457802.3783788172,457802.3783788172,0.0,62.33697626736905,-43.66267738631005,0,21,18.67429888091283,-43.662677386456224,4.0792843245577834e-05
2009-05,2009-05-29,457808.9225085843,457808.9225085843,0.0,63.734420574886556,-57.19029080768295,0,20,6.544129767105915,-57.19029080778064,1.429466091958756e-05
2009-06,2009-06-30,457809.47356849787,457809.47356849787,0.0,69.58385279727968,-69.03279288373318,0,22,0.5510599135886878,-69.03279288369099,1.2036897633386667e-06
2009-07,2009-07-31,457584.95164203324,457584.95164203324,0.0,72.77933776696148,-297.30126423146703,0,22,-224.52192646462936,-297.30126423159084,-0.0004904265626365117
2009-08,2009-08-31,457741.6160558929,457741.6160558929,0.0,67.92137797475537,88.74303588494702,0,21,156.66441385966027,88.7430358849049,0.0003423723033230738
2009-09,2009-09-30,457883.7561424018,457883.7561424018,0.0,47.71419629183486,94.42589021690918,0,21,142.1400865088799,94.42589021704504,0.00031052471858168077
2009-10,2009-10-30,457973.2121764413,457973.2121764413,0.0,30.157399009107436,59.29863503045931,1,22,89.45603403949644,59.29863503038901,0.00019536843759898666
2009-11,2009-11-30,458060.755894815,458060.755894815,0.0,20.49028348328806,67.05343489048245,2,20,87.5437183737522,67.05343489046413,0.0001911546702867517
2009-12,2009-12-31,458187.66090313706,458187.66090313706,0.0,20.749700706820583,106.15530761521299,0,22,126.90500832203543,106.15530761521484,0.00027704841920833917
