month,month_end,equity,cash,open_mark,cash_pnl,realised_premium_pnl,filter_active_days,trading_days,total_pnl,premium_pnl,total_return
2005-01,2005-01-31,400785.3505989055,400785.3505989055,0.0,724.5257836739095,60.82481523182062,0,20,785.3505989055266,60.824815231617094,0.0019633764972638162
2005-02,2005-02-28,401627.9853640053,401627.9853640053,0.0,788.359177248452,54.275587851354544,0,19,842.6347650997923,54.27558785134022,0.002102458994173859
2005-03,2005-03-31,402410.30317737674,402410.30317737674,0.0,950.7838176303361,-168.4660042589124,0,22,782.3178133714246,-168.46600425891154,0.0019478667868783862
2005-04,2005-04-29,402949.9231250864,402949.9231250864,0.0,901.9077879291399,-362.2878402194709,0,21,539.619947709667,-362.28784021947286,0.001340969511587804
2005-05,2005-05-31,403176.3481156886,404620.3006256067,-1443.9525099181042,1019.7396024160437,-28.31461181394846,0,21,226.42499060218688,-793.3146118138568,0.0005619184360332996
2005-06,2005-06-30,405010.53858259984,405010.53858259984,0.0,1000.5916358213238,68.59883108980381,0,22,1834.190466911241,833.5988310899171,0.004549350366120517
2005-07,2005-07-29,403431.1567976509,403431.1567976509,0.0,1041.7755212602483,-2621.157306209141,0,20,-1579.3817849489278,-2621.157306209176,-0.003899606638573482
2005-08,2005-08-31,404507.1682799914,404507.1682799914,0.0,1274.9223486884744,-198.91086634778088,0,23,1076.0114823405165,-198.91086634795784,0.002667150179677897
2005-09,2005-09-30,405845.7320842491,405845.7320842491,0.0,1157.9049381598943,180.6588660977876,0,21,1338.563804257661,180.6588660977668,0.0033091225798281406
2005-10,2005-10-31,406291.9425386871,406291.9425386871,0.0,1286.5483854006525,-840.3379309626406,0,21,446.2104544379981,-840.3379309626544,0.0010994582895980036
2005-11,2005-11-30,406774.28555536224,406774.28555536224,0.0,1323.7436273573358,-841.4006106823035,0,21,482.34301667514956,-841.4006106821862,0.001187183318628626
2005-12,2005-12-30,408163.163055291,408163.163055291,0.0,1324.2384347651873,64.63906516364946,0,21,1388.8774999287562,64.63906516356883,0.003414368973772628
2006-01,2006-01-31,408354.0570691048,410000.06535097543,-1646.0082818706544,1528.2460007194074,-487.351986905638,0,20,190.89401381381322,-1337.3519869055942,0.0004676904510070992
2006-02,2006-02-28,410776.1585938364,410776.1585938364,0.0,1420.015450486837,152.08607424483876,0,19,2422.10152473161,1002.086074244773,0.005931376174185343
2006-03,2006-03-31,412413.82155375025,412413.82155375025,0.0,1610.3656689987422,27.297290915086904,0,23,1637.6629599138396,27.297290915097392,0.003986752701324892
2006-04,2006-04-28,413871.7055971869,413871.7055971869,0.0,1483.1564174086661,-25.27237397218198,0,19,1457.884043436672,-25.272373971994057,0.0035350028714948504
2006-05,2006-05-31,415354.77740002226,415354.77740002226,0.0,1801.2626358203565,-318.19083298509025,0,22,1483.0718028353294,-318.1908329850271,0.0035834095029409273
2006-06,2006-06-30,417419.230109226,417419.230109226,0.0,1666.62661085277,397.826098351006,0,22,2064.4527092037606,397.8260983509906,0.004970335774458941
2006-07,2006-07-31,418801.36012109835,418801.36012109835,0.0,1787.3495666127458,-405.21955474023605,5,20,1382.1300118723302,-405.21955474041556,0.0033111316206267463
2006-08,2006-08-31,421052.23008037114,421052.23008037114,0.0,1808.0571178193377,442.8128414535455,0,23,2250.8699592727935,442.8128414534558,0.005374552648592029
2006-09,2006-09-29,422804.7032235643,422804.7032235643,0.0,1654.9778078783488,97.49533531471187,0,20,1752.4731431931723,97.49533531482348,0.00416212768391859
2006-10,2006-10-31,422456.6904375672,423950.54450222047,-1493.8540646532706,1856.9118522967465,-1609.9246382939125,0,22,-348.0127859971253,-2204.924638293872,-0.0008231052855935436
2006-11,2006-11-30,425150.7317367551,425150.7317367551,0.0,1762.0652662027621,336.9760329850688,0,21,2694.0412991879275,931.9760329851654,0.0063770828114889724
2006-12,2006-12-29,427446.03743113996,427446.03743113996,0.0,1678.7576436595211,616.5480507253134,0,20,2295.3056943848496,616.5480507253285,0.005398804525182041
2007-01,2007-01-31,429310.19059269666,431080.92099387106,-1770.7304011744168,1962.6915677030624,592.30882578997,0,20,1864.1531615566928,-98.53840614636965,0.004361142690103897
2007-02,2007-02-28,431831.94124074554,431831.94124074554,0.0,1698.8784082618095,132.02500785079152,1,19,2521.750648048881,822.8722397870715,0.005873959443094991
2007-03,2007-03-30,433494.8064272081,433494.8064272081,0.0,1796.7182064454657,-133.8530199829117,10,22,1662.8651864625863,-133.85301998287946,0.003850722995813647
2007-04,2007-04-30,433588.5523945964,433588.5523945964,0.0,1839.1834095806298,-1745.4374421923158,3,20,93.74596738826949,-1745.4374421923603,0.0002162562642005059
2007-05,2007-05-31,435532.4953904849,435532.4953904849,0.0,1788.6813329369863,155.26166295161417,2,22,1943.9429958885303,155.26166295154394,0.004483381734025588
2007-06,2007-06-29,437414.520379274,437414.520379274,0.0,1631.7103014221912,250.3146873668677,4,21,1882.0249887890532,250.31468736686202,0.004321204522527505
2007-07,2007-07-31,438976.8052624953,438976.8052624953,0.0,1884.331143734686,-322.046260513429,6,21,1562.2848832213203,-322.0462605133657,0.003571634709032275
2007-08,2007-08-31,440603.54520593444,440603.54520593444,0.0,1626.7399434390663,0.0,23,23,1626.739943439141,7.457856554538012e-11,0.0037057537526758344
2007-09,2007-09-28,442312.2689066693,442312.2689066693,0.0,1345.6027815063899,363.1209192285741,11,19,1708.723700734845,363.120919228455,0.0038781433316343416
2007-10,2007-10-31,443925.9885115784,443925.9885115784,0.0,1576.431824951148,37.28777995802338,1,23,1613.719604909129,37.287779957981,0.0036483717914902202
2007-11,2007-11-30,445447.11135708477,445447.11135708477,0.0,1242.8242315652449,278.29861394107957,10,21,1521.1228455063538,278.2986139411089,0.003426523530659841
2007-12,2007-12-31,447130.5191456877,447130.5191456877,0.0,1143.5433563526826,539.8644322504032,0,20,1683.4077886029263,539.8644322502437,0.0037791417784129536
2008-01,2008-01-31,447406.128147335,447406.128147335,0.0,1119.3105057567425,-843.7015041092973,12,21,275.60900164733175,-843.7015041094107,0.000616394967120396
2008-02,2008-02-29,448705.496692606,448705.496692606,0.0,775.5605831273059,523.8079621437444,11,20,1299.3685452709906,523.8079621436847,0.0029042260790024233
2008-03,2008-03-31,449462.7681379419,449462.7681379419,0.0,497.1616666426646,260.1097786932348,10,20,757.2714453358785,260.1097786932139,0.001687680340262605
2008-04,2008-04-30,449855.2391530359,449855.2391530359,0.0,481.33243584817905,-88.86142075420547,0,22,392.47101509402273,-88.86142075415631,0.0008732002802367199
2008-05,2008-05-30,450579.33140197623,450579.33140197623,0.0,636.3361481217858,87.75610081854575,0,21,724.0922489403165,87.75610081853074,0.0016096116837576457
2008-06,2008-06-30,450676.867169285,450676.867169285,0.0,724.7446076168077,-627.2088403079741,0,21,97.53576730878558,-627.2088403080221,0.00021646746868149352
2008-07,2008-07-31,451515.39839692425,451515.39839692425,0.0,636.9768212190281,201.55440642030413,14,22,838.531227639236,201.5544064202079,0.0018606041017948756
2008-08,2008-08-29,452048.8154197832,452048.8154197832,0.0,625.8341027313426,-92.41707987229304,2,21,533.417022858921,-92.4170798724216,0.0011813927603638392
2008-09,2008-09-30,451110.69440371066,451110.69440371066,0.0,490.7951767294929,-1428.9161928020476,14,21,-938.1210160725168,-1428.9161928020096,-0.00207526484767216
2008-10,2008-10-31,451378.1966379433,451378.1966379433,0.0,267.5022342326011,0.0,23,23,267.50223423267016,6.906475391588174e-11,0.0005929857960611226
2008-11,2008-11-28,451459.8615589767,451459.8615589767,0.0,81.66492103344119,0.0,19,19,81.66492103337077,-7.041478511382593e-11,0.00018092349528986074
2008-12,2008-12-31,451469.7692123639,451469.7692123639,0.0,9.907653387276374,0.0,13,22,9.907653387228493,-4.788169860603375e-11,2.1945812309903882e-05
2009-01,2009-01-30,450824.757179369,450824.757179369,0.0,42.27236829187889,-687.2844012869755,1,20,-645.0120329949423,-687.2844012868212,-0.001428693739827216
2009-02,2009-02-27,449878.827276279,449878.827276279,0.0,101.1302349756067,-1047.0601380657295,16,19,-945.9299030900002,-1047.060138065607,-0.0020982208452976427
2009-03,2009-03-31,449965.086548463,449965.086548463,0.0,86.25927218408111,0.0,18,22,86.2592721839901,-9.100631359615363e-11,0.00019173890157541616
2009-04,2009-04-30,449677.1254118194,449677.1254118194,0.0,61.34028244685787,-349.3014190904804,0,21,-287.9611366436002,-349.30141909045807,-0.0006399632888241556
2009-05,2009-05-29,449282.2417819929,449282.2417819929,0.0,62.638696634950996,-457.5223264614636,0,20,-394.8836298264796,-457.52232646143057,-0.0008781492486744589
2009-06,2009-06-30,448798.2798145072,448798.2798145072,0.0,68.30037558414524,-552.2623430698654,0,22,-483.961967485724,-552.2623430698693,-0.001077189175263595
2009-07,2009-07-31,446491.3268054236,446491.3268054236,0.0,71.45710476812587,-2378.4101138517362,0,22,-2306.953009083576,-2378.4101138517017,-0.0051402893300684285
2009-08,2009-08-31,447045.8076664135,447045.8076664135,0.0,66.39416362278298,488.08669736720856,0,21,554.4808609898901,488.0866973671071,0.0012418625574590998
2009-09,2009-09-30,447611.8512791765,447611.8512791765,0.0,46.701216569936676,519.3423961930005,0,21,566.0436127629946,519.3423961930579,0.0012661870507582917
2009-10,2009-10-30,447967.51624839683,447967.51624839683,0.0,29.522476552777736,326.1424926675262,1,22,355.66496922035003,326.1424926675723,0.0007945834503799164
2009-11,2009-11-30,448356.38341819384,448356.38341819384,0.0,20.073277899324534,368.79389189765345,2,20,388.86716979701305,368.7938918976885,0.0008680700177853682
2009-12,2009-12-31,448960.5822613253,448960.5822613253,0.0,20.344651247864263,583.8541918836714,0,22,604.1988431314821,583.8541918836179,0.001347586128974392
2010-01,2010-01-29,448916.84346520435,448916.84346520435,0.0,20.50277517284762,-64.24157129386593,2,19,-43.73879612097517,-64.24157129382279,-9.742235253854923e-05
