entry_date,expiry,nominal_expiry,entry_spot,entry_dte,sigma_h,rv21,rv63,vix_entry,vix3m_entry,long_put,short_put,short_call,long_call,width,credit_mid,credit_net,credit_usd,max_loss_usd,contracts,equity_at_entry,exit_date,exit_dte,exit_spot,exit_debit_net,exit_reason,days_held,pnl_usd,mae_usd,mfe_usd,min_low,max_high,put_touch,call_touch,put_finish,call_finish,same_expiry_reentry
2005-01-04,2005-02-18,2005-02-18,1202.0799560546875,45,0.049438180307759635,0.08440171555458065,0.10237592481636551,14.079999923706056,,1070.0,1085.0,1290.0,1305.0,15.0,1.302248217047854,0.902248217047854,812.0233953430686,12687.976604656931,9,400024.2899448417,2005-01-28,21,1174.550048828125,0.7346650890124977,dte_exit,17,60.82481523182062,-504.4353179816568,150.82481523182062,1163.75,1205.8399658203125,False,False,False,False,False
2005-02-01,2005-03-18,2005-03-18,1181.27001953125,45,0.04501402414008812,0.09985203761263445,0.09812610355722215,12.81999969482422,,1060.0,1075.0,1260.0,1275.0,15.0,1.2469532997699595,0.8469532997699595,762.2579697929635,12737.742030207037,9,400812.2639130765,2005-02-25,21,1200.199951171875,0.6866470910462322,dte_exit,17,54.275587851354544,-737.5844784005288,144.27558785135454,1180.949951171875,1212.43994140625,False,False,False,False,False
2005-03-01,2005-04-15,2005-04-15,1203.5999755859375,45,0.042415711475991796,0.10561698144691602,0.0989174385045794,12.079999923706056,,1085.0,1100.0,1280.0,1295.0,15.0,1.190291913867437,0.790291913867437,711.2627224806934,12788.737277519307,9,401658.09952505445,2005-03-28,18,1171.4200439453125,0.8774763630440063,dte_exit,18,-168.4660042589124,-1259.3795616666355,0.0,1168.699951171875,1229.1099853515625,False,False,False,False,False
2005-04-05,2005-05-20,2005-05-20,1176.1199951171875,45,0.0495435164026354,0.10279741046155953,0.10191307945307404,14.109999656677246,,1045.0,1060.0,1265.0,1280.0,15.0,1.211216118052473,0.811216118052473,730.0945062472257,12769.905493752774,9,402564.00480900396,2005-04-29,21,1143.219970703125,1.113758162740774,dte_exit,18,-362.2878402194709,-847.6480954226635,5.926926262252852,1136.1500244140625,1191.8800048828125,False,False,False,False,False
2005-05-03,2005-06-17,2005-06-17,1162.1600341796875,45,0.053089863966335936,0.1506316932856506,0.11992961354057144,15.119999885559082,,1025.0,1040.0,1255.0,1270.0,15.0,1.2746101795601916,0.8746101795601916,787.1491616041725,12712.850838395829,9,403076.87839033944,2005-05-27,21,1197.6199951171875,0.8060708593534677,dte_exit,18,-28.31461181394846,-625.146064079073,154.71595779583643,1146.1800537109375,1198.949951171875,False,False,False,False,False
2005-05-31,2005-07-15,2005-07-15,1198.780029296875,45,0.042661496813559956,0.10367565807722783,0.1193770357788619,12.149999618530272,,1080.0,1095.0,1275.0,1290.0,15.0,1.2043916776867825,0.8043916776867824,723.9525099181042,12776.047490081895,9,403941.3481156886,2005-06-24,21,1200.72998046875,0.6281707542536671,dte_exit,18,68.59883108980381,-870.946258278266,158.5988310898038,1191.030029296875,1219.5899658203125,False,False,False,False,False
2005-07-05,2005-08-19,2005-08-19,1194.43994140625,45,0.040028071001647014,0.07633982558434853,0.11366211717732856,11.399999618530272,,1085.0,1100.0,1265.0,1280.0,15.0,1.2409397586757116,0.8409397586757116,840.9397586757116,14159.060241324289,10,405183.37409284903,2005-07-29,21,1243.719970703125,3.362097064884853,dte_exit,18,-2621.157306209141,-2521.157306209141,0.0,1183.550048828125,1245.1500244140625,False,False,False,False,False
2005-08-02,2005-09-16,2005-09-16,1235.3499755859375,45,0.042415711475991796,0.08594654105583369,0.08943308171504018,12.079999923706056,,1115.0,1130.0,1315.0,1330.0,15.0,1.180837651883568,0.7808376518835679,702.7538866952111,12797.246113304791,9,403581.1990232062,2005-08-26,21,1212.3699951171875,0.9018497256033244,dte_exit,18,-198.91086634778088,-820.632327647887,0.0,1209.3699951171875,1245.8599853515625,False,False,False,False,False
2005-09-06,2005-10-21,2005-10-21,1218.02001953125,45,0.04764744995200105,0.08629128873759616,0.08459464458277248,13.56999969482422,,1085.0,1100.0,1305.0,1320.0,15.0,1.2369591963373594,0.8369591963373594,836.9591963373593,14163.040803662641,10,404738.57931608614,2005-09-30,21,1227.6800537109375,0.5563003302395718,dte_exit,18,180.6588660977876,-1049.5845530037,280.6588660977876,1205.3499755859375,1243.1300048828125,False,False,False,False,False
2005-10-04,2005-11-18,2005-11-18,1226.699951171875,45,0.043749980955856575,0.091131772057874,0.08828295706381331,12.460000038146973,,1105.0,1120.0,1305.0,1320.0,15.0,1.3132537534615025,0.9132537534615025,913.2537534615026,14086.746246538498,10,406002.58756730537,2005-10-28,21,1178.9000244140625,1.6535916844241432,dte_exit,18,-840.3379309626406,-1477.9440189681497,0.0,1168.199951171875,1229.8800048828125,False,False,False,False,False
2005-11-01,2005-12-16,2005-12-16,1207.010009765625,45,0.05379211017979791,0.15060049912029855,0.11234980882668975,15.31999969482422,,1060.0,1075.0,1305.0,1320.0,15.0,1.262089576601383,0.8620895766013831,862.0895766013831,14137.910423398616,10,406335.38040801906,2005-11-25,21,1265.6099853515625,1.6034901872836866,dte_exit,17,-841.4006106823035,-741.4006106823035,74.37369154714335,1201.0699462890625,1270.6400146484375,False,False,False,False,False
2005-12-06,2006-01-20,2006-01-20,1262.0899658203125,45,0.04073032056368308,0.07981967463806582,0.11019936729943439,11.600000381469728,,1145.0,1160.0,1340.0,1355.0,15.0,1.2049784893565025,0.8049784893565025,804.9784893565026,14195.021510643499,10,407038.83149038494,2005-12-30,21,1254.4200439453125,0.6403394241928531,dte_exit,17,64.63906516364946,-802.0661609805188,208.88549711035085,1250.9100341796875,1275.800048828125,False,False,False,False,False
2006-01-03,2006-02-17,2006-02-17,1248.2900390625,45,0.04238059832817518,0.0737956609195917,0.10632891376362281,12.06999969482422,,1125.0,1140.0,1330.0,1345.0,15.0,1.1324712867167293,0.7324712867167292,732.4712867167293,14267.528713283271,10,408341.8665493498,2006-01-27,21,1273.8299560546875,1.1198232736223672,dte_exit,17,-487.351986905638,-2623.1951344329927,0.0,1245.739990234375,1294.9000244140625,False,False,False,False,False
